name,created_at,verified,id,username,url,description,location,followers_count,following_count,tweet_count,listed_count,party
Volker Wissing,2009-02-11T14:34:58.000Z,True,20593301,Wissing,https://t.co/QyGCyDDccr,"Bundesminister für Digitales und Verkehr, Vorsitzender der FDP Rheinland-Pfalz Impressum: https://t.co/CiizL4OICW","Schillerstraße 11a, 55116 Mainz",31291,998,13162,621,fdp
Christian Lindner,2010-03-11T16:11:51.000Z,True,122104353,c_lindner,https://t.co/mJgVJTabCr,Bundesminister der Finanzen. Bundesvorsitzender der Freien Demokraten. Es twittern er selbst (CL) und sein Team (TL).,"Berlin, Deutschland",550078,1371,17689,2408,fdp
Prof. Karl Lauterbach,2015-05-21T14:01:21.000Z,True,3292982985,Karl_Lauterbach,https://t.co/aNTUPwOxBp,"SPD Bundestagsabgeordneter, Bundesgesundheitsminister, der hier selbst und privat tweetet.","Berlin, Deutschland",831122,296,9571,1,spd
Außenministerin Annalena Baerbock,2021-12-10T11:15:44.000Z,True,1469264387512979461,ABaerbock,https://t.co/bR6R0XD5I5,Offizieller Twitter Account von Außenministerin Annalena Baerbock │ Official Twitter Account of Foreign Minister Annalena Baerbock,Berlin,92810,40,9,260,gruene
Nancy Faeser,2012-06-27T16:33:18.000Z,True,620221740,NancyFaeser,https://t.co/Zu3jph3Ylw,Bundesministerin des Innern und für Heimat | Vorsitzende SPD Hessen | Rechtsanwältin | Eintracht-Fan,Hessen,54473,386,1084,340,spd
Marco Buschmann,2010-01-18T16:25:00.000Z,True,106136813,MarcoBuschmann,https://t.co/gxl5XUDMDk,"Bundesminister der Justiz
Mitglied des Deutschen Bundestags
Es twittern Marco Buschmann und Team Buschmann (TB)",Gelsenkirchen/Berlin,44332,2468,20999,566,fdp
Hubertus Heil,2008-08-22T10:14:26.000Z,True,15943222,hubertus_heil,https://t.co/QBOzYetBVd,"Bundesminister für Arbeit und Soziales, MdB für den Wahlkreis Gifhorn/Peine. Stellvertretender Vorsitzender der SPD.","Peine, Gifhorn, Berlin",108452,4239,6698,1284,spd
Cem Özdemir,2009-01-17T12:30:36.000Z,True,19108766,cem_oezdemir,https://t.co/0ukgDcivlL,Bundestagsabgeordneter für Stuttgart I https://t.co/QfShIr6P8K https://t.co/QwCeT16VWV,Stuttgart/Berlin,310246,1367,13858,1491,gruene
SteffiLemke,2008-11-07T11:07:46.000Z,True,17229513,SteffiLemke,https://t.co/XIUwD6qwyi,Bundesumweltministerin @BMUV | Mitglied des Deutschen Bundestages (Bündnis 90/Die Grünen) | Paddlerin | Dessau-Rosslau | Hier twittere ich selbst,,21793,1184,12010,703,gruene
Bettina Stark-Watzinger,2009-05-06T17:25:30.000Z,True,38228691,starkwatzinger,https://t.co/YQZiUvJc1n,Bundesministerin für Bildung und Forschung • MdB • Landesvorsitzende der FDP Hessen • Bürgerin • Aus vollem Herzen Mutter.,Bad Soden,16202,946,3249,280,fdp
Svenja Schulze,2016-07-26T16:41:45.000Z,True,757979230244368385,SvenjaSchulze68,https://t.co/HG7LbSDy1n,"Münsteranerin, Sozialdemokratin und Bundesministerin für wirtschaftliche Zusammenarbeit und Entwicklung. Das ist mein persönliches Twitter-Profil.","Münster, Deutschland",30705,2173,4614,517,spd
Klara Geywitz,2017-01-14T16:17:44.000Z,True,820303897126268929,klara_geywitz,https://t.co/OJo7HRWAgA,"Potsdamerin, Mutter von drei Kindern, fröhliche Christin und stellvertretende Vorsitzende der SPD, kümmert sich um das Zuhause","Potsdam, Deutschland",19575,2877,2516,244,spd
Wolfgang Schmidt,2011-10-10T12:26:47.000Z,True,388237790,W_Schmidt_,https://t.co/exzl84MaKa,Staatsrat und Staatssekretär a.D. (Hier privat unterwegs),"Berlin, Deutschland",25467,9826,15597,268,spd
